,Commodity,Train Accuracy,Test Accuracy,Overfitting?,Precision,Recall,F1-Score
0,"Crude oil, average",1.0,0.942,No,0.942,0.942,0.942
1,"Crude oil, Brent",1.0,0.929,No,0.932,0.929,0.928
2,"Crude oil, Dubai",1.0,0.923,No,0.923,0.923,0.922
3,"Crude oil, WTI",1.0,0.961,No,0.961,0.961,0.961
4,"Coal, Australian",1.0,0.955,No,0.955,0.955,0.955
5,"Coal, South African",1.0,0.774,Yes,0.777,0.774,0.775
6,"Natural gas, US",1.0,0.948,No,0.947,0.948,0.947
7,"Natural gas, Europe",1.0,0.826,Yes,0.854,0.826,0.811
8,"Liquefied natural gas, Japan",1.0,0.871,Yes,0.894,0.871,0.865
9,Natural gas index,1.0,0.852,Yes,0.85,0.852,0.839
10,Cocoa,1.0,0.916,No,0.915,0.916,0.916
11,"Coffee, Arabica",1.0,0.948,No,0.948,0.948,0.948
12,"Coffee, Robusta",1.0,0.987,No,0.987,0.987,0.987
13,"Tea, avg 3 auctions",1.0,0.897,Yes,0.907,0.897,0.901
14,"Tea, Colombo",1.0,0.916,No,0.839,0.916,0.876
15,"Tea, Kolkata",1.0,0.8,Yes,0.803,0.8,0.8
16,"Tea, Mombasa",1.0,0.8,Yes,0.809,0.8,0.799
17,Coconut oil,1.0,0.897,Yes,0.904,0.897,0.897
18,Groundnuts,1.0,0.865,Yes,0.871,0.865,0.865
19,Fish meal,1.0,1.0,No,1.0,1.0,1.0
20,Groundnut oil,1.0,0.897,Yes,0.898,0.897,0.897
21,Palm oil,1.0,0.942,No,0.946,0.942,0.942
22,Soybeans,1.0,0.794,Yes,0.802,0.794,0.793
23,Soybean oil,1.0,0.89,Yes,0.895,0.89,0.89
24,Soybean meal,1.0,0.516,Yes,0.586,0.516,0.516
25,Barley,1.0,0.865,Yes,0.86,0.865,0.848
26,Maize,1.0,0.935,No,0.94,0.935,0.935
27,Sorghum,1.0,0.923,No,0.93,0.923,0.924
28,"Rice, Thai 5%",1.0,0.916,No,0.921,0.916,0.917
29,"Rice, Thai 25%",1.0,0.8,Yes,0.64,0.8,0.711
30,"Rice, Thai A.1",1.0,0.91,No,0.85,0.91,0.879
31,"Wheat, US SRW",1.0,0.903,No,0.906,0.903,0.903
32,"Wheat, US HRW",1.0,0.858,Yes,0.869,0.858,0.858
33,"Banana, US",1.0,0.884,Yes,0.781,0.884,0.829
34,Orange,1.0,0.781,Yes,0.817,0.781,0.74
35,Beef,1.0,0.961,No,0.924,0.961,0.942
36,Chicken,1.0,0.877,Yes,0.887,0.877,0.872
37,Lamb,1.0,0.865,Yes,0.883,0.865,0.813
38,"Shrimps, Mexican",1.0,0.877,Yes,0.884,0.877,0.869
39,"Sugar, EU",1.0,1.0,No,1.0,1.0,1.0
40,"Sugar, US",1.0,0.974,No,0.976,0.974,0.974
41,"Sugar, world",1.0,0.884,Yes,0.884,0.884,0.884
42,"Tobacco, US import u.v.",1.0,0.955,No,0.912,0.955,0.933
43,"Logs, Cameroon",1.0,0.613,Yes,0.786,0.613,0.555
44,"Logs, Malaysian",1.0,0.89,Yes,0.891,0.89,0.891
45,"Sawnwood, Cameroon",0.998,0.89,Yes,0.916,0.89,0.893
46,"Sawnwood, Malaysian",1.0,0.935,No,0.938,0.935,0.936
47,Plywood,0.998,0.968,No,0.97,0.968,0.968
48,"Cotton, A Index",1.0,0.903,No,0.901,0.903,0.9
49,"Rubber, RSS3",1.0,0.897,Yes,0.903,0.897,0.898
50,Phosphate rock,1.0,0.903,No,0.907,0.903,0.904
51,DAP,1.0,0.903,No,0.908,0.903,0.902
52,TSP,1.0,0.871,Yes,0.88,0.871,0.87
53,Urea,1.0,0.781,Yes,0.78,0.781,0.78
54,Potassium chloride,1.0,0.6,Yes,0.816,0.6,0.586
55,Aluminum,1.0,0.897,Yes,0.915,0.897,0.899
56,"Iron ore, cfr spot",1.0,0.877,Yes,0.9,0.877,0.874
57,Copper,1.0,0.794,Yes,0.84,0.794,0.748
58,Lead,1.0,0.923,No,0.851,0.923,0.885
59,Tin,1.0,0.923,No,0.922,0.923,0.921
60,Nickel,1.0,0.897,Yes,0.898,0.897,0.897
61,Zinc,1.0,0.968,No,0.968,0.968,0.968
62,Gold,1.0,0.89,Yes,0.793,0.89,0.839
63,Platinum,1.0,0.852,Yes,0.876,0.852,0.856
64,Silver,1.0,0.89,Yes,0.894,0.89,0.889
